Geno,Site ,Height,Pam_a,Pam_ps,Pam_etrmax,ammon,nitrate,ammon_res,nitrate_res,phenolics,TERM.m,RHIZ.m,ROOT.m,NEW.m,GROWTH.m,Tot_below.m,Tot_term.m,Total.m,Tot_above.m,GrowthXwidth_day.mean,Tot_Growth_day.mean,shoots,width,length,term_rhiz,new_rhiz,rhiz_D,max_root,tot_rhiz,ratio
CCH17,CC,HI,0.212665593,5.958690604,4.677257401,1.165031111,2.590323783,-1.34527587,0.209461204,0.560956765,0.419,0.277666667,0.211333333,0.130666667,0.049666667,0.489,0.468666667,1.088333333,0.599333333,30.33333333,3.51,3,8.333333333,41.96666667,12.26666667,1.833333333,4.033333333,14.5,14.1,1.225630538
CCS09,CC,S,0.233520663,6.137638946,4.122602592,1.930022835,1.623635503,-0.580284147,-0.757227076,0.84632797,0.4124,0.2444,0.2118,0.2974,0.063,0.4562,0.4754,1.229,0.7728,35.826,4.238,4.6,8.4,48.66,10.12,1.5,4.46,10.26,11.62,1.693993862
CCS17,CC,S,0.205950948,6.411115384,4.909459055,3.551727064,2.950850365,1.62703855,0.619050996,0.964116598,0.228,0.11825,0.11825,0.11725,0.02675,0.2365,0.25475,0.6085,0.372,17.9775,3.0425,2,5.625,47.4,9.4,1.9,2.65,9.85,11.3,1.572938689
DPH02,DP,HI,0.18925993,5.756843013,4.661799872,1.576268376,3.69793576,-0.706224187,1.440688782,0.489361952,0.3944,0.2106,0.2194,0.1122,0.0604,0.43,0.4548,0.997,0.567,38.038,5.024,2.4,7.4,46.86,11.86,1.22,4.14,13.6,13.08,1.318604651
DPH06,DP,HI,0.185525395,5.839432763,4.771440139,3.80782605,2.430429528,1.525333487,0.17318255,0.640821471,0.309,0.179666667,0.149666667,0.147333333,0.042,0.329333333,0.351,0.827666667,0.498333333,27.58,4.956666667,2.666666667,6,46.36666667,11.33333333,1.833333333,3.166666667,16,13.16666667,1.513157895
DPH10,DP,HI,0.237172306,4.695873419,4.125072566,1.698907264,2.003554598,-0.811399717,-0.377307981,0.962060547,0.368,0.272666667,0.145,0.141,0.049,0.417666667,0.417,0.975666667,0.558,33.9525,4.7025,3,7.1,45.84,12.96,1.52,4.12,16.46,14.48,1.335993614
DPH14,DP,HI,0.200390701,5.637907272,4.236962296,2.621946952,2.320167056,0.079034302,-0.205224652,1.093929444,0.3684,0.242,0.2564,0.1194,0.0562,0.4984,0.4246,1.0424,0.544,39.802,5.18,3.6,7.8,41.26,12.76,1.38,3.8,16.54,14.14,1.091492777
DPL07,DP,LI,0.163083757,7.009806506,4.479188485,1.374143906,3.417874193,-0.792725201,1.109628414,0.927055197,0.2735,0.10275,0.11225,0.011,0.036666667,0.225,0.316333333,0.552333333,0.327333333,22.4725,3.49,2,6.625,43.775,6,1.375,3.3,11.325,7.375,1.454814813
DPL10,DP,LI,0.157435418,5.788816201,4.528307619,1.537372942,2.443522272,-0.433711734,0.269890022,0.83249176,0.32425,0.34125,0.3365,0.47975,0.0585,0.67775,0.38275,1.54025,0.8625,39.08333333,5.113333333,4.333333333,7.333333333,43.33333333,12.2,8.266666667,3.8,16.2,20.46666667,1.272593139
DPL18,DP,LI,0.264339038,5.830710793,5.166903612,1.991298769,1.776986157,-0.519008212,-0.603876421,1.302125399,0.3836,0.1946,0.1856,0.0778,0.0596,0.3802,0.4432,0.9012,0.521,32.276,4.714,2.2,6.4,49.3,9.08,1.02,3.95,13.42,10.1,1.370331405
DPS09,DP,S,0.191971268,4.681703151,3.691630255,2.200761798,4.464102544,0.072197735,1.896455043,0.915564207,0.1965,0.1585,0.154,0.037333333,0.033,0.269,0.233333333,0.539666667,0.270666667,21.93333333,3.003333333,2.25,6,29.425,9.45,0.675,3.5,12.45,10.125,1.006195788
DPS14,DP,S,0.210526359,4.929373002,4.746729516,2.160347941,1.351699748,-0.122144621,-0.90554723,0.784107135,0.33125,0.2815,0.311,0.2025,0.048,0.5925,0.37925,1.17425,0.58175,31.8,4.3,4.25,7.25,44.375,12.525,2.35,3.9,9.55,14.875,0.98185654
DPS19,DP,S,0.200304862,5.723120689,4.379428987,2.141678184,1.644191359,0.170593508,-0.529440892,0.791124851,0.27125,0.16075,0.1235,0.0935,0.049,0.28425,0.32025,0.698,0.41375,27.8475,4.1025,2.75,6.625,36.525,9.2,1.25,3.575,12.55,10.45,1.455584872
JET06,J,S,0.20614358,5.633453601,4.554763911,1.326195149,1.46701622,-0.610344318,-0.72205195,0.629525495,0.3232,0.2138,0.21,0.155,0.056,0.4238,0.3792,0.958,0.5342,34.996,4.728,3.2,7.5,47.82,10.3,2.7,3.64,12.9,13,1.260500236
MMH01,MM,HI,0.186224277,6.098990981,4.630017622,2.237576318,1.984881548,-0.005469118,-0.327723595,1.121988503,0.34025,0.18425,0.2035,0.09325,0.06025,0.38775,0.4005,0.8815,0.49375,32.12,4.73,2.75,7,32.7,10.8,1.025,3.6,13.725,11.825,1.273372018
MMH07,MM,HI,0.210435994,5.683519211,4.806759336,0.869077176,1.530325188,-0.846040361,-0.197553481,0.709227059,0.3436,0.2064,0.1974,0.1872,0.0494,0.4038,0.393,0.984,0.5802,28.49,3.954,3,7.2,42.06,9.2,1.44,3.84,13.28,10.64,1.436849926
MMH08,MM,HI,0.219987329,5.577414943,4.820265761,2.063675561,2.392436154,0.02187971,-0.121105768,0.877056047,0.2996,0.19,0.1696,0.06275,0.04975,0.3655,0.348,0.77625,0.41075,31.242,4.162,2.4,6.9,45.12,10.24,1.66,3.68,13.14,11.9,1.12380301
MMH15,MM,HI,0.194908565,5.113786002,4.048847213,2.031419469,1.585396049,-0.255791796,-0.819367705,0.980856852,0.2902,0.1868,0.1456,0.0984,0.0472,0.3324,0.3374,0.7682,0.4358,28.188,4.196,2.8,6.8,35.88,9.74,0.9,3.7,9.68,10.64,1.311070999
MML12,MM,LI,0.166835871,5.028145847,3.851935998,2.820947734,1.928579377,0.538455172,-0.328667601,0.648166124,0.221,0.159333333,0.129333333,0.118,0.052,0.392,0.35,0.86,0.468,22.21,3.553333333,2,5.666666667,39.26666667,9.3,0.8,3.4,9.1,10.1,1.193877551
MML15,MM,LI,0.165341996,6.274994757,4.48517341,4.732925464,3.896699916,2.604361401,1.329052415,0.84845892,0.25325,0.3155,0.14775,0.0945,0.038,0.46325,0.29125,0.849,0.38575,26.27,3.4775,2.333333333,7,33.33333333,15.56666667,2.066666667,4.033333333,9.333333333,17.63333333,0.832703724
MML17,MM,LI,0.170725253,5.946455536,4.48224192,2.315801298,2.295775843,-0.227111351,-0.229615865,0.957703286,0.315666667,0.203666667,0.191666667,0.0495,0.04,0.4315,0.394,0.875,0.4435,25.27333333,3.966666667,2,6.5,39.73333333,9.966666667,0.466666667,3.4,14.53333333,10.43333333,1.027809965
MMS08,MM,S,0.210018409,5.51910585,4.455411794,3.00981786,2.421663852,0.499510879,0.040801273,0.680129995,0.2574,0.3058,0.1588,0.1628,0.0434,0.4646,0.3008,0.9282,0.4636,28.602,3.782,3,6.8,37.86,17.1,4.06,3.54,11.78,21.16,0.997847611
MMS10,MM,S,0.217262098,5.403819561,4.463353591,2.591592655,3.768670819,0.450550529,1.646682518,0.700637979,0.2455,0.1525,0.139,0.015,0.04,0.2915,0.2855,0.592,0.3005,26.355,3.89,2,6.5,26.25,11.25,0.25,3.3,10.65,11.5,1.030874786
MMS17,MM,S,0.206898979,5.304048403,4.574245529,3.657540404,1.939953689,1.147233423,-0.440908889,0.521520599,0.345,0.4144,0.2586,0.322,0.0506,0.673,0.3956,1.3906,0.7176,33.754,4.388,4.6,7.4,41.6,17.68,6.4,4.12,10.62,24.08,1.066270431
WPH03,WP,HI,0.213121606,5.116422515,4.364832778,2.39568315,4.000360247,0.076643583,1.57184194,1.039497043,0.1254,0.1214,0.0944,0.0618,0.0236,0.2158,0.149,0.4266,0.2108,13.396,2.878,2.6,4.8,32.52,8.68,1.06,2.78,10.5,9.74,0.976830399
WPH04,WP,HI,0.182619467,6.030070866,5.068585629,1.807309738,1.689008851,-0.475182825,-0.568238127,0.662114362,0.3156,0.2392,0.1772,0.1962,0.0536,0.4164,0.3692,0.9818,0.5654,30.29,4.545,3.75,7,40.2,10.95,2.675,3.7,15.275,13.625,1.357829011
WPL05,WP,LI,0.172015389,6.712615415,5.055332723,2.15693956,2.071582183,-0.125553002,-0.185664795,1.073616283,0.4195,0.1915,0.24225,0.12325,0.067,0.43375,0.4865,1.0435,0.60975,42.5575,5.385,3.75,7.75,55.95,8.35,0.675,4.325,12.475,9.025,1.405763689
WPL12,WP,LI,0.218128782,4.660052616,3.639717246,2.034134204,3.082715707,-0.253077061,0.677951953,0.754153957,0.2482,0.1394,0.1754,0.0492,0.0412,0.3148,0.2894,0.6534,0.3386,24.186,3.768,2.2,6.4,49.24,8.22,1.74,3.32,10.6,9.96,1.075603558
WPL15,WP,LI,0.18499808,5.711887913,4.390667542,1.921032259,1.629519148,-0.589274722,-0.75134343,0.545367047,0.361,0.2104,0.1524,0.2006,0.0518,0.3628,0.4128,0.9762,0.6134,24.874,3.288,3.75,8,44.4,11.025,3.225,3.925,12.2,14.25,1.690738699
WPS03,WP,S,0.191810415,7.005382677,4.974647149,2.358016592,1.470733089,0.075524029,-0.78651389,1.009093782,0.3885,0.3005,0.305,0.25825,0.05925,0.6055,0.44775,1.3115,0.706,38.365,4.85,3.5,7.75,50.8,13.825,2.95,3.625,13.625,16.775,1.16597853
WPS09,WP,S,0.175558241,5.2759528,4.143587533,2.796544707,2.423732858,0.514052145,0.16648588,0.739618805,0.2824,0.129,0.1674,0.0758,0.0376,0.2964,0.32,0.6922,0.3958,23.764,3.334,2.6,7,39,6.62,0.64,3.74,10.38,7.26,1.335357625
WPS20,WP,S,0.160851145,6.147380481,4.770688539,2.641711342,3.429695039,0.354500077,1.024931285,0.823010246,0.308,0.1858,0.202,0.08975,0.048,0.336,0.34875,0.7745,0.4385,30.76,4.2125,3,7.1,47,11.04,2.02,3.57,10.42,13.06,1.305059524
